X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,ConfirmedCovidRecovered,TotalCovidRecovered,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,Male,Female,Unknown,Aged1,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,CommunityTransmission,CloseContact,TravelAbroad,UnderInvestigation,FID
-7.692596,53.288234,2020-02-29T00:00:00.000Z,1,1,0,0,0,0,2020-02-27T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,1
-7.692596,53.288234,2020-03-03T00:00:00.000Z,1,2,0,0,0,0,2020-03-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,2
-7.692596,53.288234,2020-03-04T00:00:00.000Z,4,6,0,0,0,0,2020-03-02T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,3
-7.692596,53.288234,2020-03-05T00:00:00.000Z,7,13,0,0,0,0,2020-03-03T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,4
-7.692596,53.288234,2020-03-06T00:00:00.000Z,5,18,0,0,0,0,2020-03-04T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,5
-7.692596,53.288234,2020-03-07T00:00:00.000Z,1,19,0,0,0,0,2020-03-05T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,6
-7.692596,53.288234,2020-03-08T00:00:00.000Z,2,21,0,0,0,0,2020-03-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,7
-7.692596,53.288234,2020-03-09T00:00:00.000Z,3,24,0,0,0,0,2020-03-07T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,8
-7.692596,53.288234,2020-03-10T00:00:00.000Z,10,34,0,0,0,0,2020-03-08T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,9
-7.692596,53.288234,2020-03-11T00:00:00.000Z,9,43,1,1,0,0,2020-03-09T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,10
-7.692596,53.288234,2020-03-12T00:00:00.000Z,27,70,0,1,0,0,2020-03-10T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,11
-7.692596,53.288234,2020-03-13T00:00:00.000Z,20,90,0,1,0,0,2020-03-11T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,12
-7.692596,53.288234,2020-03-14T00:00:00.000Z,39,129,1,2,0,0,2020-03-12T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,13
-7.692596,53.288234,2020-03-15T00:00:00.000Z,40,169,0,2,0,0,2020-03-13T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,14
-7.692596,53.288234,2020-03-16T00:00:00.000Z,54,223,0,2,0,0,2020-03-14T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,15
-7.692596,53.288234,2020-03-17T00:00:00.000Z,69,292,0,2,0,0,2020-03-15T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,16
-7.692596,53.288234,2020-03-18T00:00:00.000Z,74,366,0,2,0,0,2020-03-16T00:00:00.000Z,271,84,6,,,,1,0,4,28,48,62,40,46,42,27,21,52,53,17
-7.692596,53.288234,2020-03-19T00:00:00.000Z,191,557,1,3,0,0,2020-03-17T00:00:00.000Z,350,108,7,,,,1,1,8,38,64,78,49,54,57,35,21,43,71,18
-7.692596,53.288234,2020-03-20T00:00:00.000Z,126,683,0,3,0,0,2020-03-18T00:00:00.000Z,438,140,12,241,189,7,1,1,9,47,78,96,62,69,75,40,21,39,96,19
-7.692596,53.288234,2020-03-21T00:00:00.000Z,102,785,0,3,0,0,2020-03-19T00:00:00.000Z,584,173,13,320,257,7,2,2,10,56,110,121,95,85,102,42,23,35,160,20
-7.692596,53.288234,2020-03-22T00:00:00.000Z,121,906,1,4,0,0,2020-03-20T00:00:00.000Z,712,211,17,393,311,8,3,2,12,63,127,149,132,101,122,44,23,33,258,21
-7.692596,53.288234,2020-03-23T00:00:00.000Z,219,1125,2,6,0,0,2020-03-21T00:00:00.000Z,836,239,25,460,369,7,3,2,16,69,166,165,158,117,139,43,24,33,279,22
-7.692596,53.288234,2020-03-24T00:00:00.000Z,204,1329,1,7,0,0,2020-03-22T00:00:00.000Z,965,277,36,534,431,0,3,2,17,77,189,183,191,136,165,45,24,31,299,23
-7.692596,53.288234,2020-03-25T00:00:00.000Z,235,1564,2,9,0,0,2020-03-23T00:00:00.000Z,1146,305,39,642,522,0,3,2,20,94,228,214,229,165,207,47,24,29,442,24
-7.692596,53.288234,2020-03-26T00:00:00.000Z,255,1819,10,19,0,0,2020-03-24T00:00:00.000Z,1383,340,47,753,630,0,3,5,22,111,264,246,280,280,252,47,24,29,594.690000,25
-7.692596,53.288234,2020-03-27T00:00:00.000Z,302,2121,3,22,0,0,2020-03-25T00:00:00.000Z,1639,419,59,879,760,6,3,7,25,123,310,305,320,233,307,51,23,26,747,26
-7.692596,53.288234,2020-03-28T00:00:00.000Z,294,2415,14,36,0,0,2020-03-26T00:00:00.000Z,1904,489,67,1010,888,6,4,10,25,136,358,353,368,271,373,50,23,27,955,27
-7.692596,53.288234,2020-03-29T00:00:00.000Z,200,2615,10,46,0,0,2020-03-27T00:00:00.000Z,2216,564,77,1140,1060,16,4,11,29,155,408,416,432,314,441,51,25,24,1203,28
-7.692596,53.288234,2020-03-30T00:00:00.000Z,295,2910,8,54,0,0,2020-03-28T00:00:00.000Z,2475,645,84,1240,1206,29,4,11,29,171,448,467,467,360,511,50,27,23,1301,29
-7.692596,53.288234,2020-03-31T00:00:00.000Z,325,3235,17,71,0,0,2020-03-29T00:00:00.000Z,2677,703,113,1321,1320,36,6,11,30,178,477,503,504,398,563,51,26,23,1396,30
-7.692596,53.288234,2020-04-01T00:00:00.000Z,212,3447,14,85,0,0,2020-03-30T00:00:00.000Z,2990,834,126,1494,1457,39,8,11,30,194,519,550,558,440,673,51,29,20,1541,31
-7.692596,53.288234,2020-04-02T00:00:00.000Z,402,3849,13,98,0,0,2020-03-31T00:00:00.000Z,3282,932,134,1661,1572,49,8,11,30,216,564,617,608,480,739,59,23,18,1687,32
-7.692596,53.288234,2020-04-03T00:00:00.000Z,424,4273,22,120,0,0,2020-04-01T00:00:00.000Z,3655,1039,148,1752,1860,43,8,12,30,235,618,685,690,537,831,61,23,16,1918,33
-7.692596,53.288234,2020-04-04T00:00:00.000Z,331,4604,17,137,0,0,2020-04-02T00:00:00.000Z,4014,1118,158,1909,2080,25,9,12,33,255,678,751,764,584,918,62,23,15,2099,34
-7.692596,53.288234,2020-04-05T00:00:00.000Z,390,4994,21,158,0,0,2020-04-03T00:00:00.000Z,4443,1203,165,2072,2335,36,11,13,35,270,748,808,830,647,1070,63,24,13,2431,35
-7.692596,53.288234,2020-04-06T00:00:00.000Z,370,5364,16,174,0,0,2020-04-04T00:00:00.000Z,4916,1265,169,2235,2633,48,11,13,36,287,820,902,907,697,1229,65,23,12,2802,36
-7.692596,53.288234,2020-04-07T00:00:00.000Z,345,5709,36,210,0,0,2020-04-05T00:00:00.000Z,5593,1345,194,2594,2946,53,12,18,39,347,948,1044,1048,794,1326,67,22,11,3342,37
-7.692596,53.288234,2020-04-08T00:00:00.000Z,365,6074,25,235,0,0,2020-04-06T00:00:00.000Z,5981,1472,224,2757,3154,70,12,18,42,364,1010,1111,1118,847,1442,67,23,10,3452,38
